query_id,source
0,other
1,negations
2,negations
3,negations
4,behavioral
5,negations
6,negations
7,negations
8,other
9,other
10,other
11,negations
12,negations
13,negations
14,negations
15,negations
16,other
17,other
18,negations
19,negations
20,negations
21,negations
22,negations
23,negations
24,other
25,other
26,negations
27,other
28,negations
29,negations
30,negations
31,negations
32,negations
33,negations
34,negations
35,negations
36,other
37,negations
38,other
39,negations
40,negations
41,negations
42,negations
43,other
44,negations
45,negations
46,other
47,negations
48,negations
49,negations
50,negations
51,negations
52,negations
53,negations
54,other
55,negations
56,negations
57,negations
58,other
59,negations
60,negations
61,other
62,negations
63,other
64,negations
65,other
66,other
67,negations
68,other
69,negations
70,negations
71,negations
72,negations
73,negations
74,negations
75,negations
76,negations
77,negations
78,negations
79,negations
80,negations
81,negations
82,negations
83,negations
84,negations
85,negations
86,negations
87,negations
88,negations
89,negations
90,negations
91,negations
92,other
93,negations
94,negations
95,negations
96,negations
97,negations
98,negations
99,negations
100,behavioral
101,behavioral
102,negations
103,negations
104,negations
105,negations
106,negations
107,negations
108,negations
109,negations
110,negations
111,negations
112,negations
113,negations
114,negations
115,negations
116,other
117,negations
118,negations
119,negations
120,negations
121,negations
122,negations
123,other
124,negations
125,negations
126,negations
127,negations
128,negations
129,negations
130,negations
131,negations
132,negations
133,negations
134,other
135,negations
136,negations
137,negations
138,negations
139,negations
140,negations
141,negations
142,other
143,negations
144,other
145,other
146,negations
147,negations
148,negations
149,negations
150,negations
151,negations
152,negations
153,negations
154,negations
155,negations
156,negations
157,negations
158,negations
159,negations
160,negations
161,negations
162,negations
163,negations
164,negations
165,negations
166,negations
167,other
168,negations
169,negations
170,negations
171,negations
172,negations
173,negations
174,negations
175,other
176,negations
177,negations
178,negations
179,negations
180,negations
181,negations
182,negations
183,negations
184,negations
185,negations
186,other
187,negations
188,negations
189,negations
190,negations
191,negations
192,negations
193,other
194,negations
195,negations
196,negations
197,other
198,negations
199,other
200,negations
201,negations
202,other
203,negations
204,negations
205,negations
206,negations
207,negations
208,negations
209,negations
210,negations
211,negations
212,negations
213,negations
214,negations
215,negations
216,negations
217,negations
218,negations
219,negations
220,negations
221,negations
222,negations
223,negations
224,negations
225,negations
226,negations
227,negations
228,negations
229,negations
230,negations
231,negations
232,negations
233,negations
234,negations
235,negations
236,negations
237,negations
238,negations
239,other
240,negations
241,negations
242,negations
243,negations
244,negations
245,negations
246,negations
247,negations
248,negations
249,negations
250,negations
251,negations
252,negations
253,negations
254,negations
255,negations
256,negations
257,negations
258,negations
259,negations
260,negations
261,negations
262,negations
263,other
264,negations
265,negations
266,negations
267,negations
268,negations
269,negations
270,negations
271,negations
272,negations
273,other
274,negations
275,other
276,other
277,negations
278,negations
279,negations
280,negations
281,other
282,other
283,other
284,negations
285,negations
286,negations
287,negations
288,negations
289,negations
290,negations
291,negations
292,negations
293,negations
294,negations
295,negations
296,negations
297,negations
298,negations
299,negations
300,negations
301,negations
302,negations
303,negations
304,negations
305,negations
306,negations
307,negations
308,negations
309,other
310,behavioral
311,negations
312,negations
313,negations
314,negations
315,negations
316,negations
317,other
318,other
319,negations
320,other
321,other
322,negations
323,negations
324,negations
325,other
326,negations
327,other
328,negations
329,negations
330,negations
331,negations
332,parse_pattern
333,negations
334,negations
335,negations
336,negations
337,negations
338,other
339,negations
340,negations
341,negations
342,negations
343,negations
344,negations
345,negations
346,negations
347,negations
348,negations
349,negations
350,negations
351,negations
352,other
353,other
354,negations
355,negations
356,negations
357,negations
358,negations
359,negations
360,negations
361,other
362,other
363,negations
364,negations
365,other
366,negations
367,negations
368,negations
369,negations
370,negations
371,negations
372,negations
373,negations
374,negations
375,negations
376,negations
377,negations
378,negations
379,negations
380,negations
381,negations
382,other
383,negations
384,negations
385,negations
386,negations
387,negations
388,negations
389,negations
390,negations
391,negations
392,negations
393,negations
394,negations
395,negations
396,negations
397,negations
398,other
399,negations
400,negations
401,negations
402,negations
403,negations
404,negations
405,negations
406,negations
407,negations
408,other
409,other
410,parse_pattern
411,other
412,negations
413,other
414,other
415,other
416,negations
417,negations
418,negations
419,negations
420,negations
421,negations
422,negations
423,other
424,parse_pattern
425,negations
426,negations
427,negations
428,negations
429,negations
430,negations
431,other
432,negations
433,negations
434,other
435,negations
436,negations
437,negations
438,other
439,negations
440,negations
441,negations
442,other
443,negations
444,negations
445,negations
446,negations
447,negations
448,negations
449,negations
450,negations
451,negations
452,negations
453,negations
454,negations
455,negations
456,negations
457,other
458,negations
459,negations
460,other
461,negations
462,negations
463,negations
464,negations
465,negations
466,other
467,other
468,other
469,other
470,parse_pattern
471,negations
472,negations
473,other
